track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,genre_category,pos,neg,neu,compound
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",1.0986122886681098,6.317164686747284,4.997212273764115,18.76697391125858,3.784189633918261,5.575949103146316,3.828641396489095,2.3978952727983707,6.717804695023691,125,Major,80,89,83,3.4657359027997265,0,2.1972245773362196,1.6094379124341003,pop,0.124,0.065,0.811,0.9783
vampire,Olivia Rodrigo,0.6931471805599453,7.242797922793756,4.736198448394496,18.757181373027652,4.553876891600541,5.337538079701318,4.5217885770490405,2.70805020110221,6.856461984594587,138,Major,51,32,53,2.8903717578961645,0,3.4657359027997265,1.9459101490553132,other,0.254,0.212,0.534,0.6808
Cruel Summer,Taylor Swift,0.6931471805599453,8.969414650866176,4.61512051684126,20.50117275619475,4.762173934797756,5.337538079701318,4.836281906951478,2.5649493574615367,6.3080984415095305,170,Major,55,58,72,2.4849066497880004,0,2.4849066497880004,2.772588722239781,other,0.225,0.285,0.49,-0.9862
Sprinter,"Dave, Central Cee",1.0986122886681098,7.690286020676768,4.5217885770490405,19.028848490817857,4.219507705176107,5.365976015021851,4.48863636973214,2.8903717578961645,6.853299093186078,141,Major,92,66,58,2.995732273553991,0,2.1972245773362196,3.2188758248682006,other,0.162,0.116,0.722,0.9605
fukumean,Gunna,0.6931471805599453,7.00033446027523,4.430816798843313,18.371672373977777,4.110873864173311,5.351858133476067,3.8918202981106265,2.4849066497880004,6.860663671448287,130,Minor,85,22,62,2.5649493574615367,0,3.367295829986474,2.302585092994046,other,0.193,0.197,0.61,-0.8807
Super Shy,NewJeans,0.6931471805599453,6.0473721790462776,4.02535169073515,17.880343075685005,3.6375861597263857,5.313205979041787,3.091042453358316,1.791759469228055,5.1298987149230735,150,Minor,78,52,82,2.9444389791664403,0,2.772588722239781,2.0794415416798357,pop,0.361,0.011,0.628,0.999
Flowers,Miley Cyrus,0.6931471805599453,9.410174353854769,4.7535901911063645,20.998512699415993,5.707110264748875,5.375278407684165,6.61472560020376,4.07753744390572,6.92951677076365,118,Major,71,65,68,1.9459101490553132,0,1.3862943611198906,2.0794415416798357,other,0.622,0.026,0.352,0.9995
Daylight,David Kushner,0.6931471805599453,8.16876982367527,4.59511985013459,19.7754089526758,4.394449154672439,5.056245805348308,5.209486152841421,3.2188758248682006,7.156176637480615,130,Minor,51,32,43,4.430816798843313,0,2.302585092994046,1.3862943611198906,other,0.218,0.262,0.52,-0.836
As It Was,Harry Styles,0.6931471805599453,10.06798452441753,4.875197323201151,21.644818100255623,6.0014148779611505,5.293304824724492,6.761572768804055,3.8501476017100584,0.0,174,Minor,52,66,73,3.5553480614894135,0,3.4657359027997265,1.9459101490553132,other,0.186,0.0,0.814,0.9468
Kill Bill,SZA,0.6931471805599453,9.000853147109458,4.356708826689592,20.874349236045482,5.214935757608986,5.093750200806762,5.087596335232384,2.5649493574615367,5.236441962829949,89,Major,64,43,73,1.791759469228055,289,2.833213344056216,1.6094379124341003,r&b,0.25,0.259,0.492,-0.8519
Cupid - Twin Ver.,Fifty Fifty,0.6931471805599453,7.987184748233473,4.356708826689592,20.023689406983863,4.5217885770490405,5.3612921657094255,4.3694478524670215,1.9459101490553132,0.0,120,Minor,78,76,59,3.784189633918261,0,3.5553480614894135,1.3862943611198906,pop,0.261,0.25,0.489,0.802
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,0.6931471805599453,6.773080375655535,4.653960350157523,17.23477324165318,4.394449154672439,5.429345628954441,4.564348191467836,3.2188758248682006,7.068172000388042,78,Major,44,14,9,4.574710978503383,0,2.3978952727983707,1.3862943611198906,other,0.112,0.068,0.82,0.9712
